nom_ingredient;description_ingredient;Prix_kilo_ou_litre
sel;Assaisonnement;1.00
potimarron;Légume;3.65
ail;Légume;4.00
eau;Liquide;0.004
Beurre;Matière grasse;7.55
Chocolat;Friandise;12.00
Amande en poudre;Céréale;12.00
Blanc d’oeuf;Protéine;4.20
Sucre;Assaisonnement;1.30
camembert dans une boîte en bois;Fromage;20.00
Oeuf;Protéine;4.20
Vinaigre;Liquide;0.80
Pain;Céréale;3.60
Poivre;Assaisonnement;14.50
Gros sel;Assaisonnement;1.00
Feuille de laurier;Assaisonnement;20.00
Tomate cerise;Fruit;6.00
Oignon;Légume;2.00
Poulet fermier;Protéine;10.00
Jus de citron;Liquide;5.50
Bouillon de volaille;Liquide;20.00
Parmesan;Fromage;28.00
Jaune d’oeuf;Protéine;4.20
Herbes de Provence;Assaisonnement;30.00
Viande hachée;Protéine;18.90
Purée;Légume;4.59
Farine;Céréale;0.56
Fromage rapé;Fromage;10.00
Tomate;Fruit;4.99
Huile de friture;Matière grasse;4.00
Huile d’olive;Matière grasse;22.90
Gingembre en poudre;Assaisonnement;12.90
Curry;Assaisonnement;13.50
Carotte;Légume;0.66
Feuille de brick;Autre;9.17
Boeuf haché;Protéine;16.48
Sauce soja;Sauce;8.00